iter	Passed	Remaining
132	6281	40944
133	6319	40840
134	6362	40766
135	6400	40663
136	6440	40569
137	6479	40476
138	6521	40398
139	6566	40336
140	6606	40250
141	6647	40165
142	6688	40087
143	6731	40015
144	6778	39967
145	6817	39880
146	6861	39816
147	6903	39739
148	6942	39654
149	6988	39602
150	7029	39523
151	7076	39479
152	7119	39412
153	7163	39352
154	7203	39269
155	7241	39177
156	7286	39123
157	7330	39063
158	7370	38984
159	7412	38918
160	7454	38847
161	7501	38802
162	7541	38727
163	7582	38654
164	7628	38604
165	7672	38549
166	7712	38469
167	7751	38388
168	7794	38328
169	7840	38279
170	7886	38233
171	7927	38161
172	7969	38096
173	8010	38024
174	8051	37958
175	8096	37905
176	8138	37840
177	8176	37758
178	8218	37693
179	8260	37630
180	8302	37565
181	8347	37518
182	8390	37458
183	8427	37372
184	8464	37288
185	8505	37224
186	8544	37147
187	8586	37086
188	8630	37032
189	8670	36964
190	8708	36886
191	8748	36816
192	8793	36766
193	8835	36707
194	8877	36648
195	8920	36592
196	8963	36537
197	9011	36499
198	9054	36445
199	9101	36405
200	9141	36337
201	9185	36285
202	9235	36257
203	9279	36209
204	9321	36150
205	9361	36082
206	9402	36021
207	9440	35947
208	9483	35893
209	9526	35838
210	9568	35779
211	9610	35721
212	9651	35660
213	9692	35598
214	9732	35536
215	9771	35466
216	9816	35419
217	9860	35370
218	9909	35340
219	9954	35294
220	9997	35241
221	10044	35200
222	10090	35158
223	10133	35103
224	10173	35042
225	10216	34990
226	10258	34933
227	10305	34893
228	10349	34843
229	10391	34789
230	10434	34736
231	10473	34672
232	10522	34636
233	10565	34585
234	10606	34527
235	10648	34470
236	10686	34405
237	10733	34365
238	10777	34318
239	10819	34262
240	10861	34208
241	10902	34148
242	10945	34097
243	10987	34042
244	11027	33983
245	11070	33932
246	11115	33886
247	11156	33829
248	11194	33762
249	11236	33708
250	11278	33655
251	11320	33600
252	11364	33553
253	11407	33504
254	11453	33461
255	11493	33404
256	11533	33343
257	11574	33289
258	11616	33234
259	11653	33167
260	11692	33106
261	11734	33054
262	11771	32987
263	11810	32927
264	11849	32866
265	11892	32815
266	11933	32761
267	11973	32705
268	12017	32656
269	12059	32604
270	12099	32549
271	12142	32497
272	12181	32440
273	12221	32382
274	12261	32324
275	12298	32260
276	12341	32213
277	12382	32157
278	12425	32109
279	12466	32057
280	12502	31990
281	12543	31938
282	12581	31875
283	12623	31825
284	12669	31784
285	12710	31732
286	12750	31677
287	12792	31624
288	12831	31569
289	12870	31510
290	12911	31458
291	12952	31406
292	12995	31358
293	13036	31305
294	13077	31251
295	13121	31206
296	13163	31158
297	13204	31104
298	13248	31060
299	13288	31007
300	13329	30954
301	13371	30905
302	13417	30865
303	13457	30811
304	13498	30757
305	13538	30704
306	13577	30648
307	13622	30606
308	13670	30570
309	13714	30526
310	13757	30478
311	13802	30437
312	13845	30390
313	13888	30342
314	13932	30296
315	13975	30249
316	14015	30198
317	14058	30150
318	14105	30111
319	14145	30059
320	14189	30014
321	14230	29964
322	14274	29918
323	14317	29872
324	14363	29832
325	14405	29783
326	14445	29730
327	14486	29679
328	14529	29633
329	14572	29585
330	14617	29543
331	14659	29494
332	14702	29449
333	14743	29398
334	14785	29350
335	14827	29302
336	14868	29252
337	14908	29200
338	14955	29160
339	14998	29114
340	15042	29070
341	15081	29016
342	15122	28966
343	15158	28907
344	15201	28860
345	15249	28823
346	15295	28783
347	15341	28743
348	15385	28699
349	15427	28651
350	15470	28605
351	15513	28559
352	15553	28506
353	15594	28457
354	15639	28416
355	15680	28365
356	15724	28321
357	15765	28272
358	15808	28225
359	15850	28178
360	15896	28137
361	15941	28095
362	15984	28050
363	16025	28000
364	16065	27949
365	16106	27901
366	16150	27856
367	16199	27820
368	16243	27777
369	16285	27729
370	16330	27686
371	16373	27641
372	16421	27604
373	16465	27560
374	16509	27516
375	16547	27461
376	16589	27414
377	16629	27364
378	16667	27309
379	16704	27253
380	16745	27205
381	16793	27168
382	16833	27118
383	16871	27064
384	16911	27014
385	16950	26962
386	16991	26914
387	17036	26871
388	17080	26827
389	17117	26773
390	17157	26723
391	17201	26679
392	17245	26636
393	17288	26590
394	17328	26540
395	17368	26491
396	17411	26446
397	17453	26399
398	17493	26350
399	17540	26311
400	17581	26263
401	17625	26219
402	17667	26172
403	17715	26134
404	17760	26092
405	17802	26046
406	17844	25999
407	17892	25961
408	17936	25918
409	17980	25874
410	18030	25839
411	18074	25796
412	18118	25752
413	18161	25706
414	18202	25659
415	18246	25615
416	18289	25569
417	18331	25523
418	18373	25477
419	18415	25430
420	18456	25383
421	18498	25336
422	18539	25289
423	18580	25241
424	18625	25199
425	18668	25154
426	18712	25110
427	18755	25065
428	18793	25014
429	18834	24966
430	18876	24920
431	18920	24876
432	18959	24827
433	19002	24782
434	19042	24733
435	19083	24686
436	19127	24642
437	19167	24594
438	19216	24557
439	19257	24509
440	19300	24464
441	19340	24416
442	19382	24370
443	19424	24323
444	19469	24281
445	19507	24230
446	19552	24188
447	19594	24142
448	19634	24094
449	19676	24049
450	19722	24007
451	19766	23964
452	19809	23920
453	19851	23873
454	19893	23828
455	19934	23781
456	19979	23739
457	20017	23689
458	20064	23648
459	20104	23601
460	20148	23558
461	20190	23511
462	20235	23469
463	20282	23429
464	20324	23384
465	20365	23337
466	20408	23292
467	20448	23244
468	20491	23199
469	20529	23150
470	20571	23104
471	20613	23059
472	20652	23010
473	20693	22963
474	20733	22915
475	20772	22866
476	20812	22819
477	20852	22771
478	20891	22723
479	20931	22675
480	20970	22627
481	21015	22585
482	21058	22540
483	21097	22492
484	21138	22446
485	21184	22404
486	21228	22361
487	21277	22324
488	21321	22280
489	21363	22235
490	21405	22190
491	21447	22144
492	21484	22094
493	21525	22048
494	21569	22005
495	21613	21962
496	21653	21914
497	21692	21866
498	21735	21822
499	21776	21776
500	21818	21731
501	21864	21690
502	21905	21644
503	21951	21602
504	21991	21555
505	22050	21527
506	22091	21481
507	22133	21436
508	22177	21392
509	22219	21347
510	22266	21307
511	22308	21263
512	22354	21221
513	22397	21177
514	22436	21129
515	22478	21084
516	22519	21038
517	22566	20997
518	22610	20955
519	22652	20910
520	22692	20862
521	22733	20817
522	22775	20772
523	22815	20725
524	22854	20677
525	22900	20636
526	22942	20591
527	22983	20545
528	23025	20501
529	23071	20459
530	23112	20413
531	23161	20374
532	23202	20329
533	23248	20288
534	23291	20244
535	23332	20198
536	23379	20157
537	23422	20113
538	23461	20066
539	23504	20022
540	23547	19978
541	23586	19931
542	23627	19885
543	23666	19837
544	23706	19791
545	23749	19747
546	23789	19701
547	23829	19655
548	23879	19616
549	23920	19571
550	23959	19524
551	23998	19477
552	24039	19431
553	24078	19384
554	24127	19345
555	24180	19309
556	24235	19275
557	24296	19245
558	24356	19215
559	24413	19181
560	24468	19147
561	24531	19118
562	24583	19081
563	24637	19045
564	24691	19010
565	24747	18975
566	24798	18938
567	24851	18901
568	24905	18865
569	24958	18828
570	25014	18793
571	25067	18756
572	25127	18725
573	25184	18691
574	25246	18660
575	25307	18629
576	25371	18600
577	25439	18573
578	25497	18539
579	25565	18512
580	25637	18488
581	25703	18460
582	25761	18426
583	25814	18388
584	25871	18353
585	25926	18316
586	25979	18278
587	26036	18242
588	26090	18205
589	26151	18173
590	26204	18135
591	26255	18095
592	26310	18058
593	26371	18025
594	26425	17986
595	26480	17950
596	26532	17910
597	26589	17874
598	26645	17837
599	26701	17800
600	26762	17767
601	26819	17731
602	26882	17698
603	26962	17677
604	27028	17646
605	27093	17615
606	27147	17576
607	27208	17542
608	27265	17505
609	27322	17468
610	27393	17440
611	27467	17413
612	27536	17384
613	27603	17353
614	27669	17321
615	27748	17297
616	27821	17270
617	27891	17240
618	27962	17211
619	28031	17180
620	28101	17150
621	28161	17114
622	28225	17080
623	28282	17042
624	28336	17002
625	28389	16961
626	28438	16918
627	28487	16874
628	28535	16831
629	28580	16785
630	28627	16741
631	28675	16696
632	28726	16654
633	28776	16612
634	28826	16569
635	28872	16524
636	28922	16481
637	28972	16438
638	29014	16391
639	29060	16346
640	29104	16300
641	29146	16253
642	29199	16212
643	29251	16169
644	29310	16131
645	29362	16090
646	29416	16049
647	29461	16003
648	29506	15957
649	29552	15913
650	29609	15873
651	29661	15831
652	29713	15789
653	29765	15747
654	29815	15704
655	29865	15661
656	29915	15617
657	29969	15576
658	30014	15531
659	30065	15488
660	30113	15444
661	30161	15399
662	30202	15351
663	30248	15306
664	30294	15261
665	30342	15216
666	30385	15170
667	30436	15126
668	30478	15079
669	30526	15035
670	30573	14990
671	30622	14946
672	30673	14903
673	30721	14859
674	30767	14813
675	30813	14768
676	30860	14723
677	30905	14677
678	30957	14635
679	31000	14588
680	31045	14542
681	31099	14501
682	31153	14459
683	31210	14418
684	31267	14378
685	31327	14339
686	31380	14297
687	31431	14254
688	31489	14213
689	31547	14173
690	31610	14135
691	31670	14096
692	31721	14052
693	31774	14010
694	31835	13970
695	31891	13929
696	31945	13887
697	32001	13845
698	32053	13802
699	32110	13761
700	32163	13718
701	32216	13675
702	32273	13634
703	32332	13594
704	32384	13550
705	32437	13508
706	32494	13466
707	32546	13423
708	32606	13383
709	32658	13339
710	32712	13296
711	32763	13252
712	32817	13209
713	32872	13167
714	32926	13124
715	32986	13083
716	33042	13041
717	33098	12999
718	33153	12956
719	33208	12914
720	33262	12871
721	33315	12827
722	33366	12783
723	33415	12738
724	33472	12696
725	33527	12653
726	33581	12610
727	33636	12567
728	33695	12526
729	33745	12481
730	33802	12438
731	33859	12396
732	33913	12353
733	33968	12310
734	34021	12266
735	34079	12224
736	34132	12180
737	34187	12137
738	34240	12093
739	34297	12050
740	34359	12009
741	34415	11966
742	34467	11922
743	34525	11879
744	34574	11834
745	34629	11790
746	34682	11746
747	34738	11703
748	34789	11658
749	34841	11613
750	34902	11572
751	34959	11529
752	35024	11488
753	35091	11448
754	35155	11408
755	35221	11367
756	35282	11325
757	35338	11282
758	35393	11238
759	35436	11190
760	35478	11142
761	35522	11095
762	35569	11048
763	35613	11001
764	35658	10953
765	35699	10905
766	35742	10857
767	35785	10810
768	35829	10762
769	35878	10717
770	35930	10672
771	35981	10626
772	36029	10580
773	36075	10533
774	36118	10486
775	36164	10439
776	36207	10391
777	36251	10344
778	36310	10301
779	36355	10254
780	36396	10206
781	36435	10157
782	36480	10110
783	36521	10062
784	36562	10013
785	36604	9966
786	36648	9918
787	36690	9870
788	36741	9825
789	36801	9782
790	36871	9742
791	36940	9701
792	36999	9658
793	37042	9610
794	37083	9562
795	37127	9515
796	37173	9468
797	37219	9421
798	37276	9377
799	37341	9335
800	37400	9291
801	37442	9244
802	37487	9196
803	37536	9150
804	37588	9105
805	37630	9057
806	37674	9010
807	37715	8962
808	37758	8914
809	37803	8867
810	37847	8820
811	37895	8773
812	37939	8726
813	37981	8678
814	38023	8631
815	38069	8584
816	38113	8536
817	38155	8489
818	38197	8441
819	38242	8394
820	38287	8347
821	38328	8299
822	38372	8252
823	38416	8205
824	38456	8157
825	38500	8110
826	38546	8063
827	38592	8016
828	38636	7969
829	38680	7922
830	38724	7875
831	38766	7827
832	38807	7780
833	38854	7733
834	38898	7686
835	38946	7640
836	38990	7593
837	39038	7546
838	39082	7499
839	39125	7452
840	39173	7406
841	39221	7359
842	39266	7312
843	39311	7266
844	39353	7218
845	39396	7171
846	39436	7123
847	39475	7075
848	39516	7028
849	39557	6980
850	39599	6933
851	39640	6885
852	39684	6838
853	39725	6791
854	39766	6743
855	39806	6696
856	39847	6648
857	39891	6602
858	39931	6554
859	39972	6507
860	40016	6460
861	40056	6412
862	40097	6365
863	40141	6318
864	40182	6271
865	40225	6224
866	40271	6177
867	40312	6130
868	40356	6083
869	40398	6036
870	40439	5989
871	40482	5942
872	40528	5895
873	40569	5848
874	40612	5801
875	40656	5755
876	40698	5708
877	40738	5660
878	40784	5614
879	40830	5567
880	40872	5520
881	40915	5473
882	40961	5427
883	41009	5381
884	41051	5334
885	41091	5287
886	41133	5240
887	41185	5194
888	41233	5148
889	41281	5102
890	41323	5055
891	41366	5008
892	41411	4961
893	41452	4914
894	41493	4867
895	41538	4821
896	41580	4774
897	41623	4727
898	41665	4680
899	41707	4634
900	41752	4587
901	41792	4540
902	41831	4493
903	41875	4447
904	41917	4400
905	41961	4353
906	42006	4307
907	42045	4260
908	42086	4213
909	42129	4166
910	42179	4120
911	42218	4073
912	42264	4027
913	42307	3980
914	42351	3934
915	42400	3888
916	42442	3841
917	42484	3794
918	42526	3748
919	42569	3701
920	42610	3654
921	42652	3608
922	42698	3562
923	42737	3515
924	42780	3468
925	42821	3422
926	42862	3375
927	42905	3328
928	42947	3282
929	42989	3235
930	43031	3189
931	43079	3143
932	43121	3096
933	43166	3050
934	43208	3003
935	43248	2957
936	43294	2910
937	43337	2864
938	43384	2818
939	43430	2772
940	43474	2725
941	43514	2679
942	43555	2632
943	43595	2586
944	43634	2539
945	43676	2493
946	43719	2446
947	43758	2400
948	43796	2353
949	43835	2307
950	43880	2260
951	43921	2214
952	43966	2168
953	44004	2121
954	44045	2075
955	44092	2029
956	44132	1982
957	44174	1936
958	44216	1890
959	44259	1844
960	44300	1797
961	44340	1751
962	44382	1705
963	44419	1658
964	44458	1612
965	44502	1566
966	44541	1520
967	44587	1473
968	44631	1427
969	44675	1381
970	44718	1335
971	44758	1289
972	44797	1243
973	44837	1196
974	44878	1150
975	44922	1104
976	44965	1058
977	45010	1012
978	45052	966
979	45093	920
980	45138	874
981	45179	828
982	45227	782
983	45273	736
984	45321	690
985	45369	644
986	45410	598
987	45452	552
988	45494	506
989	45533	459
990	45577	413
991	45628	367
992	45681	322
993	45727	276
994	45774	230
995	45824	184
996	45873	138
997	45919	92
998	45969	46
999	46024	0
